,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,santa maria,0,BR,1563466617,53,-16.02,-48.01,298.15,5.7
1,coihaique,75,CL,1563466618,80,-45.58,-72.07,279.15,3.6
2,tweed,75,CA,1563466618,73,44.48,-77.31,301.48,2.6
3,hilo,75,US,1563466619,73,19.71,-155.08,295.37,2.1
4,usinsk,100,RU,1563466619,92,66.0,57.56,283.102,8.65
5,havoysund,20,NO,1563466620,67,71.0,24.66,289.15,5.1
6,tongliao,0,CN,1563466620,69,43.61,122.27,298.302,4.91
7,eufaula,1,US,1563466621,59,31.89,-85.15,307.59,3.1
8,sayyan,38,YE,1563466622,52,15.17,44.32,298.602,3.84
9,bredasdorp,86,ZA,1563466622,43,-34.53,20.04,294.15,9.8
10,rikitea,1,PF,1563466623,72,-23.12,-134.97,293.802,13.75
11,ponta do sol,77,BR,1563466623,54,-20.63,-46.0,292.402,3.43
12,tasiilaq,40,GL,1563466624,81,65.61,-37.64,284.15,4.6
13,lebu,75,ET,1563466625,82,8.96,38.73,289.15,2.1
14,naron,40,ES,1563466626,78,43.52,-8.15,296.48,4.6
15,gillette,1,US,1563466554,73,44.29,-105.5,298.71,1.5
16,elizabeth city,1,US,1563466626,70,36.3,-76.22,306.48,6.2
17,labytnangi,100,RU,1563466627,87,66.66,66.39,292.602,1.77
18,bintulu,75,MY,1563466555,100,3.17,113.03,299.15,0.36
19,husavik,100,CA,1563466628,62,50.56,-96.99,297.59,1.34
20,punta arenas,0,CL,1563466628,86,-53.16,-70.91,274.82,6.2
21,jalu,0,LY,1563466628,22,29.03,21.55,308.402,5.55
22,cidreira,0,BR,1563466629,63,-30.17,-50.22,292.602,7.61
23,carnarvon,5,ZA,1563466630,28,-30.97,22.13,290.002,7.92
24,atuona,8,PF,1563466630,77,-9.8,-139.03,299.602,3.36
25,mar del plata,0,AR,1563466631,52,-46.43,-67.52,279.402,7.61
26,busselton,95,AU,1563466632,80,-33.64,115.35,285.93,5.14
27,severo-yeniseyskiy,72,RU,1563466505,85,60.37,93.04,291.502,0.86
28,treinta y tres,30,UY,1563466633,74,-33.23,-54.39,288.902,4.02
29,jamestown,0,AU,1563466633,77,-33.21,138.6,279.902,1.9
30,general cepeda,75,MX,1563466634,42,25.38,-101.48,300.15,3.1
31,buraydah,0,SA,1563466634,16,26.33,43.97,313.15,6.2
32,talnakh,0,RU,1563466635,56,69.49,88.39,294.15,4.0
33,cayenne,0,GF,1563466635,70,4.94,-52.33,303.15,1.0
34,xuddur,100,SO,1563466636,47,4.12,43.89,300.602,7.67
35,opuwo,0,NA,1563466636,11,-18.06,13.84,302.102,5.21
36,west fargo,1,US,1563466527,69,46.88,-96.9,297.59,3.1
37,bitung,20,ID,1563466637,83,1.44,125.19,297.15,0.5
38,port alfred,30,ZA,1563466637,68,-33.59,26.89,289.26,1.78
39,kruisfontein,66,ZA,1563466638,47,-34.0,24.73,291.602,2.21
40,nome,75,US,1563466638,62,30.04,-94.42,305.93,5.1
41,bambous virieux,75,MU,1563466639,69,-20.34,57.76,296.15,8.2
42,meadow lake,90,CA,1563466639,93,54.13,-108.44,288.15,1.5
43,west bay,20,CA,1563466640,72,49.34,-123.21,290.93,8.7
44,nemuro,100,JP,1563466640,95,43.32,145.57,288.102,6.28
45,lompoc,90,US,1563466641,87,34.64,-120.46,290.93,1.93
46,luocheng,98,CN,1563466641,91,28.29,114.55,297.902,1.26
47,kloulklubed,75,PW,1563466642,83,7.04,134.26,300.15,1.5
48,tsabong,0,BW,1563466642,10,-26.02,22.4,297.002,3.24
49,new norfolk,75,AU,1563466642,61,-42.78,147.06,283.15,9.3
50,lima,90,PE,1563466197,87,-12.06,-77.04,289.15,2.6
51,ancud,75,CL,1563466643,93,-41.87,-73.83,282.15,6.7
52,dunedin,100,NZ,1563466502,80,-45.87,170.5,282.59,3.58
53,kristianstad,51,SE,1563466644,53,56.03,14.16,297.15,3.1
54,burns lake,98,CA,1563466645,75,54.23,-125.76,281.102,3.46
55,san patricio,60,PY,1563466645,61,-26.98,-56.83,291.702,4.85
56,tuckahoe,20,US,1563466646,52,37.59,-77.56,307.59,4.1
57,nanortalik,96,GL,1563466646,90,60.14,-45.24,279.002,2.33
58,fare,54,PF,1563466647,62,-16.7,-151.02,297.202,5.62
59,kaitangata,100,NZ,1563466648,69,-46.28,169.85,280.37,1.34
60,hobart,75,AU,1563466371,61,-42.88,147.33,283.15,9.3
61,kamarion,0,GR,1563466648,54,36.8,25.82,300.15,8.2
62,nikolskoye,90,RU,1563466649,87,59.7,30.79,289.82,6.0
63,okhotsk,100,RU,1563466649,95,59.36,143.24,286.102,1.84
64,genhe,0,CN,1563466650,69,50.78,121.52,288.902,0.58
65,pimentel,2,BR,1563466650,55,-3.7,-45.5,304.002,2.02
66,albany,90,US,1563466500,69,42.65,-73.75,299.26,2.57
67,ginda,75,IN,1563466651,83,30.69,78.49,301.15,2.1
68,bluff,0,AU,1563466398,53,-23.58,149.07,284.202,3.44
69,ribeira grande,75,PT,1563466652,88,38.52,-28.7,296.15,5.7
70,port lincoln,0,AU,1563466522,79,-34.72,135.86,288.302,4.84
71,castro,75,CL,1563466653,93,-42.48,-73.76,282.15,6.7
72,ushuaia,0,AR,1563466407,74,-54.81,-68.31,276.15,2.6
73,pevek,100,RU,1563466653,97,69.7,170.27,273.102,4.19
74,vaini,100,IN,1563466654,86,15.34,74.49,299.302,1.72
75,ilulissat,75,GL,1563466654,62,69.22,-51.1,286.15,6.7
76,arraial do cabo,40,BR,1563466655,53,-22.97,-42.02,296.15,6.7
77,qaanaaq,100,GL,1563466655,59,77.48,-69.36,280.002,3.63
78,alagoinhas,67,BR,1563466656,84,-12.13,-38.42,295.502,5.36
79,cherskiy,100,RU,1563466656,90,68.75,161.3,273.302,6.52
80,cabo san lucas,5,MX,1563466593,48,22.89,-109.91,305.93,3.67
81,kapaa,40,US,1563466657,69,22.08,-159.32,300.15,8.2
82,mount gambier,75,AU,1563466657,93,-37.83,140.78,280.15,3.6
83,hermanus,0,ZA,1563466658,59,-34.42,19.24,292.04,7.15
84,fortuna,90,US,1563466658,100,40.6,-124.16,292.04,6.2
85,mersing,100,MY,1563466659,94,2.43,103.84,297.402,0.69
86,chokurdakh,36,RU,1563466659,92,70.62,147.9,274.002,2.07
87,tuktoyaktuk,90,CA,1563466660,93,69.44,-133.03,281.15,3.6
88,mataura,100,NZ,1563466660,90,-46.19,168.86,279.602,1.39
89,vanimo,0,PG,1563466661,69,-2.67,141.3,301.502,1.71
90,yellowknife,20,CA,1563466661,55,62.45,-114.38,292.04,6.7
91,durban,100,CA,1563466662,92,51.93,-101.44,289.402,1.36
92,jiancheng,40,CN,1563466662,70,30.39,104.55,302.59,2.0
93,payo,63,ID,1563466663,93,-3.75,103.64,291.502,1.66
94,nan,85,TH,1563466663,94,18.78,100.78,296.902,0.79
95,kahului,20,US,1563466664,69,20.89,-156.47,299.15,5.7
96,hithadhoo,100,MV,1563466664,70,-0.6,73.08,301.602,5.98
97,barrow,100,AR,1563466665,42,-38.31,-60.23,284.902,3.29
98,mehamn,0,NO,1563466666,71,71.03,27.85,285.15,1.5
99,necochea,100,AR,1563466667,70,-38.55,-58.74,285.93,2.68
100,george,40,MW,1563466667,46,-15.35,34.83,296.15,3.1
101,saskylakh,91,RU,1563466668,63,71.97,114.09,281.702,2.82
102,cruzeiro do sul,20,BR,1563466669,78,-7.63,-72.67,301.15,2.1
103,vardo,90,US,1563466669,66,39.62,-77.74,303.15,4.1
104,yoichi,3,JP,1563466669,88,43.19,140.77,292.04,1.34
105,uvat,60,RU,1563466670,65,59.14,68.9,294.402,1.61
106,upernavik,71,GL,1563466671,78,72.79,-56.15,280.402,5.07
107,mahebourg,75,MU,1563466672,73,-20.41,57.7,296.15,7.7
108,puerto ayora,40,EC,1563466638,88,-0.74,-90.35,295.15,5.1
109,tekeli,0,KZ,1563466672,17,44.86,78.76,302.202,6.13
110,bongandanga,43,CD,1563466673,67,1.51,21.07,301.702,2.17
111,rocha,0,UY,1563466674,72,-34.48,-54.34,288.102,4.65
112,chiang klang,91,TH,1563466674,91,19.29,100.86,296.602,1.11
113,ahipara,98,NZ,1563466675,84,-35.17,173.16,287.902,9.73
114,praia da vitoria,40,PT,1563466676,73,38.73,-27.07,298.71,5.71
115,nesterov,6,RU,1563466676,82,54.63,22.57,292.202,4.95
116,brae,20,GB,1563466677,72,60.4,-1.35,290.15,4.1
117,caravelas,97,BR,1563466677,66,-17.73,-39.27,295.602,6.93
118,taltal,0,CL,1563466678,56,-25.41,-70.49,289.002,1.86
119,thompson,90,CA,1563466520,68,55.74,-97.86,291.15,1.0
120,bonnyville,90,CA,1563466679,93,54.27,-110.74,287.15,3.1
121,le port,40,FR,1563466679,50,42.87,1.37,300.93,5.7
122,pisco,0,PE,1563466679,30,-13.71,-76.2,295.15,2.6
123,hasaki,75,JP,1563466680,100,35.73,140.83,297.15,3.1
124,suez,0,EG,1563466680,44,29.97,32.54,305.802,12.28
125,verkhnevilyuysk,0,RU,1563466681,58,63.45,120.31,283.102,3.45
126,yarada,75,IN,1563466682,79,17.65,83.27,302.15,4.1
127,port macquarie,0,AU,1563466682,74,-31.43,152.91,277.59,0.5
128,smithers,90,CA,1563466683,93,54.78,-127.17,284.15,1.0
129,morgantown,40,US,1563466497,69,39.63,-79.96,302.59,2.6
130,port elizabeth,75,US,1563466684,70,39.31,-74.98,306.48,2.6
131,lokomotivnyy,91,RU,1563466684,43,53.01,60.57,300.502,1.49
132,healesville,75,AU,1563466685,76,-37.65,145.52,285.37,6.2
133,hudiksvall,91,SE,1563466685,63,61.73,17.1,290.302,3.79
134,taikang,36,CN,1563466686,74,46.86,124.44,296.202,3.7
135,portland,1,US,1563466399,56,43.66,-70.25,298.15,2.1
136,champerico,75,MX,1563466687,69,16.38,-93.6,300.15,2.6
137,vila franca do campo,20,PT,1563466687,73,37.72,-25.43,296.15,7.2
138,lagoa,0,PT,1563466687,64,37.14,-8.45,300.37,4.1
139,puerto colombia,0,CO,1563466688,66,10.99,-74.96,304.15,5.1
140,bud,20,NO,1563466688,60,62.91,6.91,295.15,1.5
141,helong,0,CN,1563466689,86,25.94,116.13,299.502,1.19
142,taloqan,0,AF,1563466689,15,36.74,69.54,303.602,1.37
143,kodiak,1,US,1563466690,27,39.95,-94.76,305.37,6.2
144,saint george,20,GR,1563466502,37,39.45,22.34,303.71,5.1
145,salta,0,AR,1563466669,55,-24.79,-65.41,293.15,1.0
146,sandakan,75,MY,1563466691,78,5.84,118.12,301.15,1.0
147,tigil,100,RU,1563466692,82,57.8,158.67,286.902,3.6
148,alghero,0,IT,1563466692,69,40.56,8.32,300.15,4.1
149,kiama,0,AU,1563466693,61,-34.67,150.86,282.15,8.7
150,chiredzi,0,ZW,1563466693,16,-21.05,31.67,297.902,2.46
151,alice springs,0,AU,1563466694,52,-23.7,133.88,280.15,2.1
152,vostok,100,RU,1563466694,97,46.45,135.83,291.302,2.48
153,nakamura,75,JP,1563466695,88,35.17,136.87,298.71,2.1
154,mayo,40,CA,1563466695,63,63.59,-135.9,289.15,2.1
155,fushun,0,CN,1563466696,88,41.89,123.95,297.15,2.0
156,marawi,45,PH,1563466696,89,8.0,124.29,297.59,2.68
157,goderich,47,CA,1563466697,91,43.74,-81.71,301.48,0.89
158,faya,40,SA,1563466697,49,18.39,42.45,301.15,3.6
159,aswan,20,EG,1563466698,6,24.09,32.9,319.15,3.6
160,nioro,5,GM,1563466698,39,13.79,-15.05,308.202,5.28
161,iskateley,70,RU,1563466699,57,67.68,53.15,285.002,7.01
162,butaritari,67,KI,1563466508,73,3.07,172.79,301.302,2.66
163,port hawkesbury,1,CA,1563466700,56,45.62,-61.36,294.82,4.6
164,codrington,0,AU,1563466700,93,-28.95,153.24,286.48,2.1
165,rampura,90,IN,1563466701,55,24.47,75.44,303.802,3.99
166,freistadt,20,AT,1563466701,34,48.51,14.5,300.93,4.6
167,launceston,75,AU,1563466702,87,-41.43,147.14,281.48,4.6
168,cape town,75,ZA,1563466431,82,-33.93,18.42,290.93,9.3
169,dingle,100,PH,1563466703,86,11.0,122.67,296.902,2.28
170,suraabad,0,AZ,1563466703,61,40.82,49.47,301.15,3.6
171,udala,20,ES,1563466704,50,43.08,-2.51,297.59,5.1
172,berlevag,0,NO,1563466705,76,70.86,29.09,288.15,9.3
173,hobyo,9,SO,1563466705,60,5.35,48.53,299.402,13.36
174,bhadrachalam,99,IN,1563466705,76,17.67,80.89,301.602,1.09
175,chuy,4,UY,1563466706,78,-33.69,-53.46,288.102,3.72
176,el rodeo,40,VE,1563466706,48,7.91,-72.33,304.15,11.3
177,baykit,0,RU,1563466707,65,61.68,96.39,289.402,3.55
178,sungaipenuh,95,ID,1563466707,97,-2.08,101.38,295.702,0.5
179,batsfjord,0,NO,1563466708,58,70.63,29.72,288.15,4.6
180,cap malheureux,75,MU,1563466708,73,-19.98,57.61,296.15,7.7
181,erenhot,91,CN,1563466709,36,43.65,111.97,302.202,4.42
182,rawson,0,AR,1563466709,40,-43.3,-65.11,282.502,12.7
183,westport,90,US,1563466627,88,41.14,-73.36,299.26,3.6
184,corn island,17,NI,1563466710,78,12.17,-83.04,300.602,9.21
185,port hueneme,90,US,1563466711,82,34.15,-119.2,297.04,2.6
186,dzaoudzi,0,YT,1563466711,73,-12.79,45.27,297.15,4.1
187,college,90,US,1563466712,87,64.86,-147.8,290.15,1.5
188,santa marta,20,CO,1563466608,70,11.24,-74.21,304.15,2.6
189,meulaboh,100,ID,1563466712,93,4.14,96.13,298.502,4.66
190,saldanha,0,PT,1563466713,23,41.42,-6.55,304.602,3.27
191,pisz,0,PL,1563466713,49,53.63,21.81,295.15,3.1
192,myitkyina,1,MM,1563466714,87,25.38,97.4,298.502,0.81
193,bela,0,PK,1563466715,58,26.23,66.31,302.602,1.98
194,lapeer,40,US,1563466715,51,43.05,-83.32,304.26,6.2
195,muros,20,ES,1563466716,64,42.77,-9.06,300.37,3.6
196,tres passos,0,BR,1563466716,70,-27.46,-53.93,288.902,4.38
197,airai,1,TL,1563466716,82,-8.93,125.41,293.502,2.16
198,longyearbyen,75,NO,1563466717,70,78.22,15.63,280.15,8.7
199,katobu,96,ID,1563466717,87,-4.94,122.53,297.302,2.44
200,horki,100,BY,1563466718,95,54.29,30.98,286.202,5.66
201,gornopravdinsk,74,RU,1563466718,64,60.06,69.92,294.402,1.14
202,provideniya,100,RU,1563466718,90,64.42,-173.23,284.102,2.06
203,saint-augustin,20,CA,1563466719,53,45.63,-73.98,298.71,3.1
204,adrar,68,DZ,1563466719,5,27.87,-0.29,322.15,7.7
205,coquimbo,0,CL,1563466720,67,-29.95,-71.34,287.15,1.5
206,narsaq,20,GL,1563466720,55,60.91,-46.05,290.15,3.1
207,varena,0,LT,1563466721,43,54.21,24.57,295.15,6.2
208,klaksvik,99,FO,1563466721,93,62.23,-6.59,286.15,4.1
209,harper,75,US,1563466722,62,30.3,-99.24,303.15,6.2
210,bandarbeyla,34,SO,1563466722,31,9.49,50.81,306.202,9.55
211,faanui,0,PF,1563466723,67,-16.48,-151.75,297.402,5.73
212,sao joao da barra,75,BR,1563466723,72,-21.64,-41.05,295.15,3.6
213,tura,0,RU,1563466724,54,64.27,100.22,286.702,3.92
214,tautira,20,PF,1563466724,68,-17.73,-149.15,293.15,3.1
215,srednekolymsk,95,RU,1563466725,64,67.46,153.71,278.402,6.5
216,karpogory,0,RU,1563466725,35,64.0,44.44,294.902,4.17
217,carolina,20,PR,1563466644,59,18.38,-65.96,305.15,8.7
218,veraval,75,FR,1563466726,93,49.65,0.71,293.71,1.5
219,lasa,40,CY,1563466726,65,34.92,32.53,301.15,5.7
220,east london,0,ZA,1563466572,48,-33.02,27.91,291.15,1.0
221,laguna,75,BZ,1563466727,74,16.17,-88.94,303.15,4.1
222,zihuatanejo,40,MX,1563466728,55,17.64,-101.55,305.15,1.5
223,port keats,73,AU,1563466728,47,-14.25,129.55,294.302,3.31
224,esperance,90,AU,1563466728,93,-33.86,121.89,286.15,6.2
225,catalina,0,PE,1563466730,30,-13.57,-76.13,295.15,2.6
226,takapau,79,NZ,1563466730,87,-40.02,176.35,278.15,1.97
227,katsuura,90,JP,1563466731,100,33.93,134.5,295.15,2.6
228,dauphin,40,CA,1563466731,82,51.15,-100.04,293.15,4.6
229,tamuin,3,MX,1563466732,75,21.98,-98.75,300.402,0.47
230,sabla,85,NG,1563466732,31,12.75,4.71,309.902,4.83
231,nisia floresta,75,BR,1563466733,58,-6.09,-35.21,301.15,7.7
232,dawlatabad,0,AF,1563466733,8,36.41,64.91,308.202,3.71
233,ixtapa,90,MX,1563466734,78,20.71,-105.21,303.15,2.95
234,elko,1,US,1563466734,33,40.83,-115.76,300.93,2.1
235,avarua,7,CK,1563466719,83,-21.21,-159.78,296.15,4.6
236,matay,0,EG,1563466735,13,28.42,30.79,313.802,6.8
237,ginir,16,ET,1563466735,75,7.14,40.71,290.402,3.09
238,namibe,0,AO,1563466736,66,-15.19,12.15,295.702,2.99
239,kati,40,ML,1563466736,55,12.75,-8.07,305.15,2.6
240,mbuji-mayi,0,CD,1563466737,24,-6.13,23.6,305.15,2.1
241,fereydun kenar,75,IR,1563466506,78,36.69,52.52,301.15,2.1
242,bonfim,98,GY,1563466738,72,3.36,-59.84,300.802,4.2
243,zeya,0,RU,1563466738,53,53.74,127.27,289.802,0.94
244,waipawa,35,NZ,1563466739,87,-39.94,176.59,278.15,1.35
245,guerrero negro,0,MX,1563466739,87,27.97,-114.04,292.102,3.13
246,oktyabrskiy,40,RU,1563466740,60,55.61,37.97,295.93,2.0
247,mahibadhoo,100,MV,1563466472,72,3.78,72.97,301.702,10.67
248,pailon,40,BO,1563466741,61,-17.66,-62.72,300.15,7.7
249,mahon,75,IE,1563466741,72,51.89,-8.4,291.48,5.7
250,high level,40,CA,1563466742,68,58.52,-117.13,293.15,3.1
251,haines junction,100,CA,1563466742,84,60.75,-137.51,284.002,2.55
